Withdrawn_Player,Withdrawn Player Country,Team,Auctioned / Retention Price,Reason,Withdrawal date,Replacement Player,Replacement Player Country,Replacement Player Price,Signing Date
Josh Philippe,Australia,RCB,20,Personal Reasons,10-Mar-21,Finn Allen,New Zealand,?20 lakh,10-Mar-21
Shreyas Iyer,India,DC,700,Shoulder injury,30-Mar-21,Aniruddha Joshi,India,?20 lakh,15 April 2021
Mitchell Marsh,Australia,SRH,200,Personal Reasons,31-Mar-21,Jason Roy,England,?2 crore,31-Mar-21
Josh Hazlewood,Australia,CSK,200,Personal Reasons,1 April 2021,Jason Behrendorff,Australia,?1 crore,9 April 2021
Rinku Singh,India,KKR,80,Knee Injury,3 April 2021,Gurkeerat Singh,India,?50 lakh,3 April 2021
Ben Stokes,England,RR,1250,Finger Injury,13 April 2021,Oshane Thomas,West Indies,?50 lakh,31-Aug-21
Liam Livingstone,England,RR,75,Personal Reasons,20 April 2021,Gerald Coetzee,South Africa,?20 lakh,01-May-21
T. Natarajan,India,SRH,40,Knee Injury,22 April 2021,Umran Malik,India,?20 lakh,24-Sep-21
Jofra Archer,England,RR,720,Elbow/Finger Injury,23 April 2021,Glenn Phillips,New Zealand,?50 lakh,26-Aug-21
Andrew Tye,Australia,RR,100,Personal Reasons,25 April 2021,Tabraiz Shamsi,South Africa,-,25-Aug-21
Kane Richardson,Australia,RCB,400,Personal Reasons,26 April 2021,George Garton,England,?20 lakh,25-Aug-21
Adam Zampa,Australia,RCB,150,Personal Reasons,26 April 2021,Wanindu Hasaranga,Sri Lanka,?50 lakh,21-Aug-21
Jhye Richardson,Australia,PBKS,1400,Personal Reasons,20-Aug-21,Adil Rashid,England,?1.5 crore,26-Aug-21
Riley Meredith,Australia,PBKS,800,Personal Reasons,20-Aug-21,Nathan Ellis,Australia,?20 lakh,20-Aug-21
Daniel Sams,Australia,RCB,20,Personal Reasons,21-Aug-21,Dushmantha Chameera,Sri Lanka,?50 lakh,21-Aug-21
Finn Allen,New Zealand,RCB,20,International duty,21-Aug-21,Tim David,Singapore,?20 lakh,21-Aug-21
Jos Buttler,England,RR,440,Personal Reasons,21-Aug-21,Evin Lewis,West Indies,?1 crore,31-Aug-21
Pat Cummins,Australia,KKR,1550,Personal Reasons,22-Aug-21,Tim Southee,New Zealand,?75 lakh,26-Aug-21
Washington Sundar,India,RCB,320,Finger Injury,30-Aug-21,Akash Deep,India,?20 lakh,30-Aug-21
Dawid Malan,England,PBKS,150,Personal Reasons,11-Sep-21,Aiden Markram,South Africa,-,11-Sep-21
Jonny Bairstow,England,SRH,220,Personal Reasons,11-Sep-21,Sherfane Rutherford,Guyana,?75 lakh,11-Sep-21
Chris Woakes,England,DC,150,Personal Reasons,11-Sep-21,Ben Dwarshuis,Australia,?30 lakh,13-Sep-21
Arjun Tendulkar,India,MI,20,Injury,29-Sep-21,Simarjeet Singh,India,-,29-Sep-21
Sam Curran,England,CSK,550,Lower-Back issue,05-Oct-21,Dominic Drakes,Barbados,-,06-Oct-21
Manimaran Siddharth,India,DC,20,Quadriceps Strain,15-Sep-21,Kulwant Khejroliya,India,?20 lakh,15-Sep-21
Sherfane Rutherford,Guyana,SRH,75,Personal Reasons,23-Sep-21,-,-,-,-
Chris Gayle,Jamaica,PBKS,200,Bio-Bubble Fatigue,30-Sep-21,-,-,-,-
Kuldeep Yadav,India,KKR,580,Knee Injury,27-Sep-21,-,-,-,-
