Staff,Country,Team,Status,Role,Announcement date
Parthiv Patel,India,MI,Appointed,Talent scout,10-Dec-20
Australia Tom Moody,Australia,SRH,Appointed,Director of cricket,15-Dec-20
India Pravin Amre,India,DC,Appointed,Assistant coach,06-Jan-21
Sri Lanka Kumar Sangakkara,Sri Lanka,RR,Appointed,Director of cricket,24-Jan-21
India Sanjay Bangar,India,RCB,Appointed,Batting consultant,10-Feb-21
Australia Andrew McDonald,Australia,RR,Parted ways,Head coach,21-Feb-21
Zimbabwe Trevor Penney,Zimbabwe,RR,Appointed,Assistant coach,21-Feb-21
New Zealand Ish Sodhi,New Zealand,RR,Appointed,Team Liaison Officer,26-Feb-21
India Sundar Raman,India,CSK,Appointed,Consultant,07-Mar-21
South Africa Charl Langeveldt,South Africa,PBKS,Parted Ways,Bowling coach,13-Mar-21
Australia Damien Wright,Australia,PBKS,Appointed,Bowling coach,13-Mar-21
India Vinay Kumar,India,MI,Appointed,Talent scout,28-Jul-21
New Zealand Mike Hesson,New Zealand,RCB,In-charge,Head Coach,21-Aug-21
